mode,time,pelvis,head
authored,0.000000,0.485356,1.102898
authored,0.004167,0.487184,1.104733
authored,0.008333,0.489012,1.106566
authored,0.012500,0.490840,1.108399
authored,0.016667,0.492668,1.110232
authored,0.020833,0.494496,1.112066
authored,0.025000,0.496323,1.113901
authored,0.029167,0.498151,1.115738
authored,0.033333,0.499979,1.117577
authored,0.037500,0.495864,1.113476
authored,0.041667,0.491749,1.109375
authored,0.045833,0.487634,1.105277
authored,0.050000,0.483518,1.101179
authored,0.054167,0.479403,1.097082
authored,0.058333,0.475288,1.092985
authored,0.062500,0.471173,1.088889
authored,0.066667,0.467058,1.084794
authored,0.070833,0.467912,1.085668
authored,0.075000,0.468766,1.086543
authored,0.079167,0.469621,1.087418
authored,0.083333,0.470475,1.088293
authored,0.087500,0.471329,1.089167
authored,0.091667,0.472184,1.090041
authored,0.095833,0.473038,1.090914
authored,0.100000,0.473893,1.091787
authored,0.104167,0.477568,1.095479
authored,0.108333,0.481244,1.099171
authored,0.112500,0.484919,1.102861
authored,0.116667,0.488595,1.106551
authored,0.120833,0.492271,1.110239
authored,0.125000,0.495946,1.113926
authored,0.129167,0.499622,1.117611
authored,0.133333,0.503297,1.121294
authored,0.137500,0.505074,1.123077
authored,0.141667,0.506851,1.124858
authored,0.145833,0.508629,1.126638
authored,0.150000,0.510406,1.128416
authored,0.154167,0.512183,1.130192
authored,0.158333,0.513960,1.131967
authored,0.162500,0.515737,1.133739
authored,0.166667,0.517514,1.135510
authored,0.170833,0.518154,1.136143
authored,0.175000,0.518795,1.136775
authored,0.179167,0.519436,1.137404
authored,0.183333,0.520076,1.138032
authored,0.187500,0.520717,1.138659
authored,0.191667,0.521358,1.139285
authored,0.195833,0.521998,1.139909
authored,0.200000,0.522639,1.140533
authored,0.204167,0.520313,1.138189
authored,0.208333,0.517988,1.135845
authored,0.212500,0.515662,1.133500
authored,0.216667,0.513337,1.131154
authored,0.220833,0.511011,1.128808
authored,0.225000,0.508686,1.126462
authored,0.229167,0.506360,1.124116
authored,0.233333,0.504035,1.121771
authored,0.237500,0.511889,1.129606
authored,0.241667,0.519743,1.137440
authored,0.245833,0.527597,1.145275
authored,0.250000,0.535451,1.153111
authored,0.254167,0.543305,1.160948
authored,0.258333,0.551159,1.168785
authored,0.262500,0.559013,1.176624
authored,0.266667,0.566867,1.184465
authored,0.270833,0.556678,1.174264
authored,0.275000,0.546489,1.164064
authored,0.279167,0.536300,1.153866
authored,0.283333,0.526111,1.143669
authored,0.287500,0.515922,1.133474
authored,0.291667,0.505733,1.123280
authored,0.295833,0.495545,1.113089
authored,0.300000,0.485356,1.102898
authored,0.304167,0.487184,1.104728
authored,0.308333,0.489012,1.106558
authored,0.312500,0.490840,1.108391
authored,0.316667,0.492668,1.110225
authored,0.320833,0.494495,1.112061
authored,0.325000,0.496323,1.113898
authored,0.329167,0.498151,1.115737
authored,0.333333,0.499979,1.117577
authored,0.337500,0.495864,1.113476
authored,0.341667,0.491749,1.109375
authored,0.345833,0.487634,1.105277
authored,0.350000,0.483519,1.101179
authored,0.354167,0.479403,1.097082
authored,0.358333,0.475288,1.092985
authored,0.362500,0.471173,1.088889
authored,0.366667,0.467058,1.084794
authored,0.370833,0.467912,1.085668
authored,0.375000,0.468766,1.086543
authored,0.379167,0.469621,1.087418
authored,0.383333,0.470475,1.088293
authored,0.387500,0.471329,1.089167
authored,0.391667,0.472184,1.090041
authored,0.395833,0.473038,1.090914
authored,0.400000,0.473893,1.091787
authored,0.404167,0.477568,1.095479
authored,0.408333,0.481244,1.099171
authored,0.412500,0.484919,1.102861
authored,0.416667,0.488595,1.106551
authored,0.420833,0.492271,1.110239
authored,0.425000,0.495946,1.113926
authored,0.429167,0.499622,1.117611
authored,0.433333,0.503297,1.121294
authored,0.437500,0.505074,1.123077
authored,0.441667,0.506851,1.124858
authored,0.445833,0.508629,1.126638
authored,0.450000,0.510406,1.128416
authored,0.454167,0.512183,1.130192
authored,0.458333,0.513960,1.131967
authored,0.462500,0.515737,1.133739
authored,0.466667,0.517514,1.135510
authored,0.470833,0.518154,1.136143
authored,0.475000,0.518795,1.136775
authored,0.479167,0.519436,1.137404
authored,0.483333,0.520076,1.138032
authored,0.487500,0.520717,1.138659
authored,0.491667,0.521358,1.139285
authored,0.495833,0.521998,1.139909
authored,0.500000,0.522639,1.140533
authored,0.504167,0.520313,1.138189
authored,0.508333,0.517988,1.135845
authored,0.512500,0.515662,1.133500
authored,0.516667,0.513337,1.131154
authored,0.520833,0.511011,1.128809
authored,0.525000,0.508686,1.126462
authored,0.529167,0.506360,1.124116
authored,0.533333,0.504035,1.121771
authored,0.537500,0.511889,1.129606
authored,0.541667,0.519743,1.137440
authored,0.545833,0.527597,1.145275
authored,0.550000,0.535451,1.153111
authored,0.554167,0.543305,1.160948
authored,0.558333,0.551159,1.168785
authored,0.562500,0.559013,1.176624
authored,0.566667,0.566867,1.184465
authored,0.570833,0.556678,1.174264
authored,0.575000,0.546489,1.164066
authored,0.579167,0.536300,1.153870
authored,0.583333,0.526111,1.143676
authored,0.587500,0.515922,1.133482
authored,0.591667,0.505733,1.123288
authored,0.595833,0.495545,1.113094
authored,0.600000,0.485356,1.102898
moving,0.000000,0.470559,1.088379
moving,0.004167,0.471413,1.089253
moving,0.008333,0.472268,1.090127
moving,0.012500,0.473122,1.091000
moving,0.016667,0.474255,1.092151
moving,0.020833,0.477931,1.095843
moving,0.025000,0.481606,1.099535
moving,0.029167,0.485282,1.103225
moving,0.033333,0.488957,1.106915
moving,0.037500,0.492633,1.110603
moving,0.041667,0.496309,1.114289
moving,0.045833,0.499984,1.117974
moving,0.050000,0.503472,1.121470
moving,0.054167,0.505249,1.123253
moving,0.058333,0.507026,1.125034
moving,0.062500,0.508803,1.126813
moving,0.066667,0.510580,1.128591
